Frequency 1,Frequency 2,Difference in mean ranks,Z-value,p-value,Significant
125.0,250.0,1.0714285714285712,6.3386569104638735,0.6,Yes
125.0,500.0,0.842857142857143,4.986410102898249,0.4,Yes
125.0,750.0,1.2857142857142856,7.606388292556649,1.0,Yes
125.0,1000.0,1.2285714285714286,7.268326590665244,0.8,Yes
250.0,500.0,-0.2285714285714282,-1.3522468075656244,-0.19999999999999996,No
250.0,750.0,0.2142857142857144,1.2677313820927758,-0.3999999999999999,No
250.0,1000.0,0.15714285714285747,0.9296696802013702,-0.6000000000000001,No
500.0,750.0,0.4428571428571426,2.6199781896584002,0.19999999999999996,No
500.0,1000.0,0.3857142857142857,2.2819164877669946,0.0,No
750.0,1000.0,-0.05714285714285694,-0.33806170189140544,-0.8,No
